PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
97-301;FUP Piotrków Trybunalski 1;Piotrków Trybunalski;£ódzka;50/52B;Piotrków Trybunalski;Piotrków Trybunalski;³ódzkie
97-308;FUP Piotrków Trybunalski 1;Piotrków Trybunalski;Szklarska;7/9;Piotrków Trybunalski;Piotrków Trybunalski;³ódzkie
97-309;FUP Piotrków Trybunalski 1;Piotrków Trybunalski;Wronia;65;Piotrków Trybunalski;Piotrków Trybunalski;³ódzkie
97-303;PP Piotrków Trybunalski E301;Piotrków Trybunalski;£ódzka;66;Piotrków Trybunalski;Piotrków Trybunalski;³ódzkie
59-424;AP Piotrowice;Piotrowice;;111;Mêcinka;jaworski;dolnoœl¹skie
23-107;AP Piotrowice;Piotrowice;;94;Strzy¿ewice;lubelski;lubelskie
19-314;AP Pisanica;Pisanica;; ;Kalinowo;e³cki;warmiñsko-mazurskie
43-332;AP Pisarzowice;Pisarzowice;Bielska;39;Wilamowice;bielski;œl¹skie
07-407;AP Piski;Piski;Wolnoœci Pl.;5;Czerwin;ostro³êcki;mazowieckie
12-200;AP Pisz;Pisz;Tuwima Juliana;24;Pisz;piski;warmiñsko-mazurskie
12-200;AP Pisz;Pisz;Warszawska;28;Pisz;piski;warmiñsko-mazurskie
12-200;UP Pisz 1;Pisz;Gizewiusza Gustawa;6;Pisz;piski;warmiñsko-mazurskie
12-201;UP Pisz 3;Pisz;Wojska Polskiego;92;Pisz;piski;warmiñsko-mazurskie
21-530;UP Piszczac;Piszczac;Cmentarna;3;Piszczac;bialski;lubelskie
18-204;AP Piszczaty-Piotrowiêta;Piszczaty-Piotrowiêta;;10;Kobylin-Borzymy;wysokomazowiecki;podlaskie
33-350;UP Piwniczna-Zdrój;Piwniczna-Zdrój;Rynek;12;Piwniczna-Zdrój;nowos¹decki;ma³opolskie
33-343;FUP Piwniczna-Zdrój;Rytro;;541;Rytro;nowos¹decki;ma³opolskie
08-210;UP Platerów;Platerów;Pocztowa;10;Platerów;³osicki;mazowieckie
99-311;AP Plecka D¹browa;Plecka D¹browa;;36;Bedlno;kutnowski;³ódzkie
86-320;AP Plesewo;Plesewo;;8;£asin;grudzi¹dzki;kujawsko-pomorskie
63-300;AP Pleszew;Pleszew;Mieszka I;2D;Pleszew;pleszewski;wielkopolskie
63-300;UP Pleszew 1;Pleszew;Poznañska;28;Pleszew;pleszewski;wielkopolskie
63-300;FUP Pleszew 1;Pleszew;Kubackiego;7;Pleszew;pleszewski;wielkopolskie
33-171;UP Pleœna;Pleœna;;1;Pleœna;tarnowski;ma³opolskie
62-064;AP Plewiska;Plewiska;Grunwaldzka;515 D;Komorniki;poznañski;wielkopolskie
17-100;AP Ploski;Ploski;;88;Bielsk Podlaski;bielski;podlaskie
46-375;AP Pludry;Pludry;Leœna;2;Dobrodzieñ;oleski;opolskie
26-120;AP P³aczków;P³aczków;;16;Bli¿yn;skar¿yski;œwiêtokrzyskie
16-326;UP P³aska;P³aska;;53;P³aska;augustowski;podlaskie
97-540;AP P³awno;P³awno;Wolnoœci;17 A;Gidle;radomszczañski;³ódzkie
37-610;AP P³azów;P³azów;Sikorskiego W³adys³awa (Genera³a W³adys³awa Sikorskiego);8;Narol;lubaczowski;podkarpackie
05-861;AP P³ochocin;P³ochocin (P³ochocin-Osiedle);£¹kowa;7;O¿arów Mazowiecki;warszawski zachodni;mazowieckie
09-421;AP P³ock;P³ock;Kalinowa;22;P³ock;P³ock;mazowieckie
09-400;UP P³ock 1;P³ock;Bielska;14 B;P³ock;P³ock;mazowieckie
09-400;FUP P³ock 1;Maszewo Du¿e;;58;Stara Bia³a;p³ocki;mazowieckie
09-400;FUP P³ock 1;P³ock;Medyczna;19;P³ock;P³ock;mazowieckie
09-401;UP P³ock 3;P³ock;Kolejowa;41;P³ock;P³ock;mazowieckie
09-402;UP P³ock 4;P³ock;Jachowicza Stanis³awa Al.;21;P³ock;P³ock;mazowieckie
09-402;FUP P³ock 4;P³ock;Kolegialna;26c;P³ock;P³ock;mazowieckie
09-418;FUP P³ock 4;P³ock;Wyszogrodzka;9;P³ock;P³ock;mazowieckie
09-403;UP P³ock 5;P³ock;Czwartaków;16;P³ock;P³ock;mazowieckie
09-404;UP P³ock 6;P³ock;Grodzka;10;P³ock;P³ock;mazowieckie
09-405;UP P³ock 7;P³ock;Sk³odowskiej-Curie Marii;1;P³ock;P³ock;mazowieckie
09-406;UP P³ock 8;P³ock;Tysi¹clecia;10;P³ock;P³ock;mazowieckie
09-407;UP P³ock 9;P³ock;Gierzyñskiego Tadeusza;17;P³ock;P³ock;mazowieckie
09-410;UP P³ock 12;P³ock;Wyszogrodzka;161;P³ock;P³ock;mazowieckie
09-409;FUP P³ock 12;P³ock;Walecznych;9;P³ock;P³ock;mazowieckie
09-408;FUP P³ock 12;P³ock;¯elazna;1;P³ock;P³ock;mazowieckie
09-442;FUP P³ock 12;Rogozino;Mazowiecka;57;Radzanowo;p³ocki;mazowieckie
09-417;UP P³ock 13;P³ock;Gwardii Ludowej;6;P³ock;P³ock;mazowieckie
09-419;UP P³ock 15;P³ock;Dworcowa;12 B;P³ock;P³ock;mazowieckie
09-420;PP P³ock W501;P³ock;Przemys³owa;19;P³ock;P³ock;mazowieckie
06-210;UP P³oniawy-Bramura;P³oniawy-Bramura;;64;P³oniawy-Bramura;makowski;mazowieckie
09-100;UP P³oñsk 1;P³oñsk;Grunwaldzka;42;P³oñsk;p³oñski;mazowieckie
09-101;UP P³oñsk 3;P³oñsk;19 Stycznia;52;P³oñsk;p³oñski;mazowieckie
14-526;UP P³oskinia;P³oskinia;;2/5;P³oskinia;braniewski;warmiñsko-mazurskie
13-206;UP P³oœnica;P³oœnica;Dworcowa;12;P³oœnica;dzia³dowski;warmiñsko-mazurskie
73-260;AP P³otno;P³otno;;2;Pe³czyce;choszczeñski;zachodniopomorskie
72-310;UP P³oty;P³oty;Jednoœci Narodowej;34;P³oty;gryficki;zachodniopomorskie
88-200;AP P³owce;P³owce Drugie;;87;Radziejów;radziejowski;kujawsko-pomorskie
87-214;UP P³u¿nica;P³u¿nica;; ;P³u¿nica;w¹brzeski;kujawsko-pomorskie
07-214;AP Pniewo;Pniewo;Pu³tuska;13;Zatory;pu³tuski;mazowieckie
64-965;AP Pniewo k. Szczecinka;Pniewo;;52;Okonek;z³otowski;wielkopolskie
62-045;UP Pniewy;Pniewy;Dworcowa;36;Pniewy;szamotulski;wielkopolskie
64-550;FUP Pniewy;Duszniki;Jana Paw³a II;8;Duszniki;szamotulski;wielkopolskie
62-045;AP Pniewy;Pniewy;Wroniecka;51;Pniewy;szamotulski;wielkopolskie
22-150;AP Pniówno;Pniówno;;19;Wierzbica;che³mski;lubelskie
59-820;AP Pobiedna;Pobiedna;Nowomiejska;2;Leœna;lubañski;dolnoœl¹skie
62-010;UP Pobiedziska;Pobiedziska;Jagie³³y W³adys³awa;32;Pobiedziska;poznañski;wielkopolskie
62-010;AP Pobiedziska;Pobiedziska;Dworcowa;2;Pobiedziska;poznañski;wielkopolskie
18-230;AP Pobikry;Pobikry;;64 B;Ciechanowiec;wysokomazowiecki;podlaskie
76-220;AP Pob³ocie;Pob³ocie;;21;G³ówczyce;s³upski;pomorskie
42-262;UP Poczesna;Poczesna;Wolnoœci;2;Poczesna;czêstochowski;œl¹skie
99-200;UP Poddêbice;Poddêbice;Pu³askiego Kazimierza;1;Poddêbice;poddêbicki;³ódzkie
99-200;AP Poddêbice;Poddêbice;Weso³a;4a;Poddêbice;poddêbicki;³ódzkie
21-222;UP Podedwórze;Podedwórze;;44;Podedwórze;parczewski;lubelskie
18-405;AP Podgórze;Podgórze;£om¿yñska;17;£om¿a;³om¿yñski;podlaskie
22-600;AP Podhorce;Podhorce;;71;Tomaszów Lubelski;tomaszowski;lubelskie
22-550;AP Podhorce;Podhorce;;41;Werbkowice;hrubieszowski;lubelskie
05-807;UP Podkowa Leœna;Podkowa Leœna;S³owicza;2 A;Podkowa Leœna;grodziski;mazowieckie
42-235;AP Podlesie;Podlesie;;90 B;Lelów;czêstochowski;œl¹skie
32-003;AP Pod³ê¿e;Pod³ê¿e;Wielicka;103;Niepo³omice;wielicki;ma³opolskie
88-400;AP Podobowice;Podobowice;;3;¯nin;¿niñski;kujawsko-pomorskie
34-724;AP Podwilk;Podwilk;;300;Jab³onka;nowotarski;ma³opolskie
16-003;AP Pogorza³ki;Pogorza³ki;;25;Dobrzyniewo Du¿e;bia³ostocki;podlaskie
19-506;AP Pogorzel;Pogorzel;;14;Go³dap;go³dapski;warmiñsko-mazurskie
12-230;AP Pogorzel Wielka;Pogorzel Wielka;;13A;Bia³a Piska;piski;warmiñsko-mazurskie
63-860;UP Pogorzela;Pogorzela;Rynek;21;Pogorzela;gostyñski;wielkopolskie
06-115;AP Pogorzelec;Pogorzelec;;137B;Pokrzywnica;pu³tuski;mazowieckie
16-500;AP Pogorzelec;Pogorzelec;;23A;Giby;sejneñski;podlaskie
72-351;UP Pogorzelica k. Gryfic (placówka sezonowa);Pogorzelica;Wojska Polskiego;32;Rewal;gryficki;zachodniopomorskie
33-152;AP Pogórska Wola;Pogórska Wola;;88 B;Skrzyszów;tarnowski;ma³opolskie
82-340;AP Pogrodzie;Pogrodzie;;54;Tolkmicko;elbl¹ski;warmiñsko-mazurskie
16-150;AP Pokoœno;Pokoœno;;30;Suchowola;sokólski;podlaskie
46-034;UP Pokój;Pokój;1 Maja;9;Pokój;namys³owski;opolskie
87-312;AP Pokrzydowo;Pokrzydowo;;41A;Zbiczno;brodnicki;kujawsko-pomorskie
06-121;UP Pokrzywnica;Pokrzywnica;Przemys³owa;3;Pokrzywnica;pu³tuski;mazowieckie
38-710;AP Polana;Polana;;53;Czarna;bieszczadzki;podkarpackie
57-320;UP Polanica-Zdrój;Polanica-Zdrój;Warszawska;6;Polanica-Zdrój;k³odzki;dolnoœl¹skie
57-330;FUP Polanica-Zdrój;Szczytna;Sienkiewicza Henryka;10;Szczytna;k³odzki;dolnoœl¹skie
76-010;UP Polanów;Polanów;Bobolicka;1;Polanów;koszaliñski;zachodniopomorskie
38-610;UP Polañczyk;Polañczyk;Zdrojowa;2;Solina;leski;podkarpackie
72-010;UP Police 1;Police;Grunwaldzka;16;Police;policki;zachodniopomorskie
72-022;FUP Police 1;Nowe Warpno;Koœciuszki Tadeusza;58;Nowe Warpno;policki;zachodniopomorskie
72-009;FUP Police 1;Police;26 Kwietnia;16;Police;policki;zachodniopomorskie
72-011;FUP Police 1;Police;Grzybowa;8 B;Police;policki;zachodniopomorskie
72-010;FUP Police 1;Police (Jasienica);Piastów;5;Police;policki;zachodniopomorskie
72-015;FUP Police 1;skrytki/przegródki;;;Police;policki;zachodniopomorskie
72-010;FUP Police 1;Tanowo;Szczeciñska;52;Police;policki;zachodniopomorskie
26-720;UP Policzna;Policzna;Prusa Boles³awa;11;Policzna;zwoleñski;mazowieckie
59-101;AP Polkowice;Polkowice;Miedziana;12;Polkowice;polkowicki;dolnoœl¹skie
59-100;UP Polkowice 1;Polkowice;Targowa;11;Polkowice;polkowicki;dolnoœl¹skie
59-101;UP Polkowice 3;Polkowice;Kominka Boles³awa (Kardyna³a Boles³awa Kominka);5;Polkowice;polkowicki;dolnoœl¹skie
59-101;FUP Polkowice 3;Grêbocice;Pocztowa;5;Grêbocice;polkowicki;dolnoœl¹skie
98-221;AP Polków;Polków;Widawska;21 a;Zduñska Wola;zduñskowolski;³ódzkie
07-109;AP Polków-Saga³y;Polków-Saga³y;;17a;Grêbków;wêgrowski;mazowieckie
47-260;UP Polska Cerekiew;Polska Cerekiew;Pocztowa;4;Polska Cerekiew;kêdzierzyñsko-kozielski;opolskie
47-280;FUP Polska Cerekiew;Paw³owiczki;Wyzwolenia;63;Paw³owiczki;kêdzierzyñsko-kozielski;opolskie
28-230;UP Po³aniec;Po³aniec;Krakowska;3;Po³aniec;staszowski;œwiêtokrzyskie
28-230;AP Po³aniec;Po³aniec;Koœciuszki Tadeusza;43;Po³aniec;staszowski;œwiêtokrzyskie
78-320;UP Po³czyn-Zdrój;Po³czyn-Zdrój;Grunwaldzka;27;Po³czyn-Zdrój;œwidwiñski;zachodniopomorskie
78-331;FUP Po³czyn-Zdrój;R¹bino;;28;R¹bino;œwidwiñski;zachodniopomorskie
78-320;AP Po³czyn-Zdrój;Po³czyn-Zdrój;5 Marca;18;Po³czyn-Zdrój;œwidwiñski;zachodniopomorskie
38-114;AP Po³omia;Po³omia;;91;Niebylec;strzy¿owski;podkarpackie
16-320;AP Pomiany;Pomiany;; ;Barg³ów Koœcielny;augustowski;podlaskie
05-180;UP Pomiechówek;Pomiechówek;Modliñska;5;Pomiechówek;nowodworski;mazowieckie
82-318;AP Pomorska Wieœ;Pomorska Wieœ;;41;Milejewo;elbl¹ski;warmiñsko-mazurskie
66-100;AP Pomorsko;Pomorsko;Chrobrego Boles³awa;66;Sulechów;zielonogórski;lubuskie
24-320;UP Poniatowa;Poniatowa;1 Maja;6;Poniatowa;opolski;lubelskie
24-320;AP Poniatowa;Poniatowa;Brzozowa;1;Poniatowa;opolski;lubelskie
09-315;AP Poniatowo;Poniatowo;Zwyciêstwa;46;¯uromin;¿uromiñski;mazowieckie
64-125;UP Poniec;Poniec;Krobska;43;Poniec;gostyñski;wielkopolskie
44-172;AP Poniszowice;Poniszowice;Gliwicka;23;Rudziniec;gliwicki;œl¹skie
97-221;AP Popielawy;Popielawy;;110;Rokiciny;tomaszowski;³ódzkie
78-320;AP Popielewo k. Bia³ogardu;Popielewo;;12;Po³czyn-Zdrój;œwidwiñski;zachodniopomorskie
46-090;UP Popielów;Popielów;Wolnoœci;10a;Popielów;opolski;opolskie
23-250;AP Popkowice;Popkowice;;6;Urzêdów;kraœnicki;lubelskie
16-123;AP Pop³awce;Pop³awce;;3;KuŸnica;sokólski;podlaskie
66-351;AP Popowo;Popowo;;33;Bledzew;miêdzyrzecki;lubuskie
42-110;UP Popów;Popów;Reymonta W³adys³awa Stanis³awa;121;Popów;k³obucki;œl¹skie
42-360;UP Poraj k. Czêstochowy;Poraj;Weso³a;23;Poraj;myszkowski;œl¹skie
42-360;AP Poraj k. Czêstochowy;Poraj;Mickiewicza;1;Poraj;myszkowski;œl¹skie
59-921;AP Porajów;Porajów;Poniatowskiego Józefa;16;Bogatynia;zgorzelecki;dolnoœl¹skie
32-862;AP Por¹bka Iwkowska;Por¹bka Iwkowska;;74;Iwkowa;brzeski;ma³opolskie
43-353;UP Por¹bka k. Kêt;Por¹bka;Rynek;6;Por¹bka;bielski;œl¹skie
32-854;AP Por¹bka Uszewska;Por¹bka Uszewska;;83a;Dêbno;brzeski;ma³opolskie
42-480;AP Porêba;Porêba;Kopernika Miko³aja;64;Porêba;zawierciañski;œl¹skie
42-480;UP Porêba k. Zawiercia;Porêba;Chopina Fryderyka;1;Porêba;zawierciañski;œl¹skie
34-520;UP Poronin;Poronin;Pi³sudskiego Józefa;15;Poronin;tatrzañski;ma³opolskie
18-520;AP Poryte;Poryte;Paszki z Radzanowa;11;Stawiski;kolneñski;podlaskie
18-300;AP Poryte-Jab³oñ;Poryte-Jab³oñ;;47;Zambrów;zambrowski;podlaskie
05-326;UP Poœwiêtne k. Wo³omina;Poœwiêtne;Krótka;1;Poœwiêtne;wo³omiñski;mazowieckie
26-315;UP Poœwiêtne n. Pilic¹;Poœwiêtne;G³ówna;40;Poœwiêtne;opoczyñski;³ódzkie
76-230;UP Potêgowo;Potêgowo;Dar¿yñska;4 B;Potêgowo;s³upski;pomorskie
76-230;FUP Potêgowo;£upawa;;45;Potêgowo;s³upski;pomorskie
28-225;AP Potok;Potok;;100;Szyd³ów;staszowski;œwiêtokrzyskie
23-423;UP Potok Górny;Potok Górny;;116;Potok Górny;bi³gorajski;lubelskie
23-313;UP Potok Wielki;Potok Wielki;;116;Potok Wielki;janowski;lubelskie
28-300;AP Potok Wielki;Potok Wielki;;37;Jêdrzejów;jêdrzejowski;œwiêtokrzyskie
22-652;AP Poturzyn;Poturzyn;;38;Telatyn;tomaszowski;lubelskie
26-414;UP Potworów;Potworów;£ódzka;2;Potworów;przysuski;mazowieckie
26-414;FUP Potworów;Klwów;Opoczyñska;33;Klwów;przysuski;mazowieckie
78-315;AP Powalice;Powalice;;28/1;S³awoborze;œwidwiñski;zachodniopomorskie
62-430;UP Powidz;Powidz;Warszawska;15A;Powidz;s³upecki;wielkopolskie
13-111;AP Powierz;Powierz;;3;Janowiec Koœcielny;nidzicki;warmiñsko-mazurskie
33-370;AP PowroŸnik;PowroŸnik;;161;Muszyna;nowos¹decki;ma³opolskie
11-610;UP Pozezdrze;Pozezdrze;1 Maja;17;Pozezdrze;wêgorzewski;warmiñsko-mazurskie
60-700;AP Poznañ;Poznañ (Poznañ-Grunwald);Grunwaldzka;17;Poznañ;Poznañ;wielkopolskie
60-311;AP Poznañ;Poznañ (Poznañ-Grunwald);Grunwaldzka;58;Poznañ;Poznañ;wielkopolskie
60-160;AP Poznañ;Poznañ (Poznañ-Grunwald);Jugos³owiañska;54;Poznañ;Poznañ;wielkopolskie
60-160;AP Poznañ;Poznañ (Poznañ-Grunwald);Magnoliowa;7;Poznañ;Poznañ;wielkopolskie
60-161;AP Poznañ;Poznañ (Poznañ-Grunwald);Mr¹gowska;4;Poznañ;Poznañ;wielkopolskie
60-350;AP Poznañ;Poznañ (Poznañ-Grunwald);Ognik;13;Poznañ;Poznañ;wielkopolskie
60-350;AP Poznañ;Poznañ (Poznañ-Grunwald);Szamotulska;46;Poznañ;Poznañ;wielkopolskie
60-660;AP Poznañ;Poznañ (Poznañ-Je¿yce);B³êkitna;1/7;Poznañ;Poznañ;wielkopolskie
61-114;AP Poznañ;Poznañ (Poznañ-Nowe Miasto);£askarza Andrzeja;6;Poznañ;Poznañ;wielkopolskie
61-249;AP Poznañ;Poznañ (Poznañ-Nowe Miasto);Stare ¯egrze Os.;20;Poznañ;Poznañ;wielkopolskie
61-341;AP Poznañ;Poznañ (Poznañ-Nowe Miasto);Staro³êcka;209/A;Poznañ;Poznañ;wielkopolskie
60-670;AP Poznañ;Poznañ (Poznañ-Stare Miasto);Obornicka;270;Poznañ;Poznañ;wielkopolskie
61-696;AP Poznañ;Poznañ (Poznañ-Stare Miasto);Serbska;7;Poznañ;Poznañ;wielkopolskie
60-670;AP Poznañ;Poznañ (Poznañ-Stare Miasto);Stefana Batorego Os.;15;Poznañ;Poznañ;wielkopolskie
61-699;AP Poznañ;Poznañ (Poznañ-Stare Miasto);Wichrowe Wzgórze Os.;121;Poznañ;Poznañ;wielkopolskie
60-694;AP Poznañ;Poznañ (Poznañ-Stare Miasto);W³adys³awa Jagie³³y Os.;3A;Poznañ;Poznañ;wielkopolskie
61-440;AP Poznañ;Poznañ (Poznañ-Wilda);28 Czerwca 1956 R.;265;Poznañ;Poznañ;wielkopolskie
61-530;AP Poznañ;Poznañ (Poznañ-Wilda);28 Czerwca 1956 R.;159;Poznañ;Poznañ;wielkopolskie
61-890;UP Poznañ 1;Poznañ (Poznañ-Stare Miasto);Koœciuszki Tadeusza;77;Poznañ;Poznañ;wielkopolskie
60-972;UP Poznañ 1;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-890;FUP Poznañ 1;Poznañ (Poznañ-Je¿yce);D¹browskiego Jana Henryka;9/11;Poznañ;Poznañ;wielkopolskie
60-700;UP Poznañ 2;Poznañ (Poznañ-Grunwald);G³ogowska;17;Poznañ;Poznañ;wielkopolskie
60-959;UP Poznañ 2;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-700;FUP Poznañ 2;Poznañ (Poznañ-Grunwald);£azarski Rynek;7;Poznañ;Poznañ;wielkopolskie
60-986;FUP Poznañ 2;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-250;UP Poznañ 3;Poznañ (Poznañ-Nowe Miasto);Or³a Bia³ego Os.;3;Poznañ;Poznañ;wielkopolskie
60-956;UP Poznañ 3;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-690;UP Poznañ 4;Poznañ (Poznañ-Stare Miasto);Sobieskiego Jana III Os.;52;Poznañ;Poznañ;wielkopolskie
60-690;FUP Poznañ 4;Poznañ (Poznañ-Stare Miasto);Stefana Batorego Os.;59;Poznañ;Poznañ;wielkopolskie
61-530;UP Poznañ 5;Poznañ (Poznañ-Wilda);28 Czerwca 1956 R.;132;Poznañ;Poznañ;wielkopolskie
60-965;UP Poznañ 5;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-530;FUP Poznañ 5;Poznañ (Poznañ-Wilda);Dolna Wilda;16/b;Poznañ;Poznañ;wielkopolskie
60-870;UP Poznañ 6;Poznañ (Poznañ-Je¿yce);Je¿ycki Rynek;1/2;Poznañ;Poznañ;wielkopolskie
61-740;UP Poznañ 9;Poznañ (Poznañ-Stare Miasto);23 Lutego;28;Poznañ;Poznañ;wielkopolskie
60-967;UP Poznañ 9;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-740;FUP Poznañ 9;Poznañ (Poznañ-Stare Miasto);Paderewskiego Ignacego;11;Poznañ;Poznañ;wielkopolskie
61-740;FUP Poznañ 9;Poznañ (Poznañ-Stare Miasto);Piaskowa;6;Poznañ;Poznañ;wielkopolskie
61-010;UP Poznañ 10;Poznañ (Poznañ-Nowe Miasto);G³ówna;58;Poznañ;Poznañ;wielkopolskie
60-960;UP Poznañ 10;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-010;FUP Poznañ 10;Poznañ (Poznañ-Nowe Miasto);Œródecki Rynek;3;Poznañ;Poznañ;wielkopolskie
60-962;FUP Poznañ 10;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-620;UP Poznañ 11;Poznañ (Poznañ-Stare Miasto);Karpia;21/A;Poznañ;Poznañ;wielkopolskie
61-670;UP Poznañ 13;Poznañ (Poznañ-Stare Miasto);Wichrowe Wzgórze Os.;104;Poznañ;Poznañ;wielkopolskie
60-980;UP Poznañ 13;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-670;FUP Poznañ 13;Poznañ (Poznañ-Stare Miasto);Wilczak;18;Poznañ;Poznañ;wielkopolskie
60-460;UP Poznañ 20;Poznañ (Poznañ-Je¿yce);Su³owska;1;Poznañ;Poznañ;wielkopolskie
60-460;FUP Poznañ 20;Poznañ (Poznañ-Je¿yce);Chojnicka;76;Poznañ;Poznañ;wielkopolskie
60-460;FUP Poznañ 20;Poznañ (Poznañ-Je¿yce);S³upska;25;Poznañ;Poznañ;wielkopolskie
61-540;UP Poznañ 21;Poznañ (Poznañ-Wilda);Przemys³owa;64;Poznañ;Poznañ;wielkopolskie
61-540;FUP Poznañ 21;Poznañ (Poznañ-Wilda);Œwiêtego Czes³awa;2;Poznañ;Poznañ;wielkopolskie
60-973;FUP Poznañ 21;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-310;UP Poznañ 25;Poznañ (Poznañ-Nowe Miasto);Szczepankowo;72;Poznañ;Poznañ;wielkopolskie
61-310;FUP Poznañ 25;Poznañ (Poznañ-Nowe Miasto);Nowotarska;7;Poznañ;Poznañ;wielkopolskie
60-470;UP Poznañ 29;Poznañ (Poznañ-Je¿yce);Strzeszyñska;63;Poznañ;Poznañ;wielkopolskie
60-995;UP Poznañ 29;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-470;FUP Poznañ 29;Poznañ (Poznañ-Je¿yce);Literacka;45/b;Poznañ;Poznañ;wielkopolskie
60-993;FUP Poznañ 29;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-470;FUP Poznañ 29;Poznañ (Poznañ-Je¿yce);Szarych Szeregów;13;Poznañ;Poznañ;wielkopolskie
60-946;FUP Poznañ 29;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-780;UP Poznañ 32;Poznañ (Poznañ-Stare Miasto);Wodna;17/19;Poznañ;Poznañ;wielkopolskie
61-440;UP Poznañ 33;Poznañ (Poznañ-Wilda);28 Czerwca 1956 R.;355;Poznañ;Poznañ;wielkopolskie
60-964;UP Poznañ 33;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-440;FUP Poznañ 33;Poznañ (Poznañ-Wilda);28 Czerwca 1956 R.;309;Poznañ;Poznañ;wielkopolskie
61-440;FUP Poznañ 33;Poznañ (Poznañ-Wilda);Saperska;46a;Poznañ;Poznañ;wielkopolskie
60-984;FUP Poznañ 33;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-260;UP Poznañ 34;Poznañ (Poznañ-Grunwald);Chociszewskiego Józefa;18/20;Poznañ;Poznañ;wielkopolskie
60-952;UP Poznañ 34;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-260;FUP Poznañ 34;Poznañ (Poznañ-Grunwald);Górecka;30;Poznañ;Poznañ;wielkopolskie
60-989;FUP Poznañ 34;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-140;UP Poznañ 36;Poznañ (Poznañ-Nowe Miasto);Piastowskie Os.;74;Poznañ;Poznañ;wielkopolskie
60-961;UP Poznañ 36;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-140;FUP Poznañ 36;Poznañ (Poznañ-Nowe Miasto);Kórnicka;5;Poznañ;Poznañ;wielkopolskie
60-985;FUP Poznañ 36;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-580;UP Poznañ 37;Poznañ (Poznañ-Je¿yce);Szpitalna;2;Poznañ;Poznañ;wielkopolskie
60-955;UP Poznañ 37;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-580;FUP Poznañ 37;Poznañ (Poznañ-Je¿yce);Gorczyczewskiego Jana;1;Poznañ;Poznañ;wielkopolskie
60-580;FUP Poznañ 37;Poznañ (Poznañ-Je¿yce);Szamarzewskiego Augustyna;54;Poznañ;Poznañ;wielkopolskie
60-580;FUP Poznañ 37;Poznañ (Poznañ-Je¿yce);Tatrzañska;1/5;Poznañ;Poznañ;wielkopolskie
60-350;UP Poznañ 38;Poznañ (Poznañ-Grunwald);Grochowska;79;Poznañ;Poznañ;wielkopolskie
60-953;UP Poznañ 38;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
60-350;FUP Poznañ 38;Poznañ (Poznañ-Grunwald);Bukowska;156;Poznañ;Poznañ;wielkopolskie
61-360;UP Poznañ 41;Poznañ (Poznañ-Nowe Miasto);Staro³êcka;42;Poznañ;Poznañ;wielkopolskie
60-963;UP Poznañ 41;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-360;FUP Poznañ 41;Poznañ (Poznañ-Nowe Miasto);G³uszyna;136;Poznañ;Poznañ;wielkopolskie
61-410;UP Poznañ 42;Poznañ (Poznañ-Wilda);Opolska;114/a;Poznañ;Poznañ;wielkopolskie
60-992;UP Poznañ 42;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-410;FUP Poznañ 42;Poznañ (Poznañ-Wilda);Leszczyñska;170/c;Poznañ;Poznañ;wielkopolskie
61-240;UP Poznañ 43;Poznañ (Poznañ-Nowe Miasto);Rusa Os.;54;Poznañ;Poznañ;wielkopolskie
60-990;UP Poznañ 43;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
61-240;FUP Poznañ 43;Poznañ (Poznañ-Nowe Miasto);Szwedzka;6;Poznañ;Poznañ;wielkopolskie
61-240;FUP Poznañ 43;Poznañ (Poznañ-Nowe Miasto);Tysi¹clecia Os.;30;Poznañ;Poznañ;wielkopolskie
60-971;FUP Poznañ 43;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie
