PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
42-500;FUP Bêdzin 1;Bêdzin (£agisza);Pokoju;24;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Bêdzin (Warpie);XXXV-Lecia PRL;15;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;CzeladŸ;Bêdziñska;80;CzeladŸ;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Psary;Malinowicka;4;Psary;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Sosnowiec;Baczyñskiego Krzysztofa Kamila;2;Sosnowiec;Sosnowiec;œl¹skie
42-500;FUP Bêdzin 1;Sosnowiec;Staszica Stanis³awa;8 b;Sosnowiec;Sosnowiec;œl¹skie
42-500;FUP Bêdzin 1;Sosnowiec;Zuzanny;20;Sosnowiec;Sosnowiec;œl¹skie
42-505;UP Bêdzin 5;Bêdzin;Zwyciêstwa;9;Bêdzin;bêdziñski;œl¹skie
63-700;AP Biadki;Biadki;Wiejska;33;Krotoszyn;krotoszyñski;wielkopolskie
32-852;AP Biadoliny Szlacheckie;Biadoliny Szlacheckie;; ;Dêbno;brzeski;ma³opolskie
09-411;UP Bia³a;Bia³a;Jana Kazimierza;8;Stara Bia³a;p³ocki;mazowieckie
64-980;AP Bia³a;Bia³a;22 Lipca;25;Trzcianka;czarnkowsko-trzcianecki;wielkopolskie
98-350;UP Bia³a k. Wielunia;Bia³a Druga;;4 C;Bia³a;wieluñski;³ódzkie
98-310;FUP Bia³a k. Wielunia;Czarno¿y³y;;47 B;Czarno¿y³y;wieluñski;³ódzkie
12-230;UP Bia³a Piska;Bia³a Piska;Moniuszki Stanis³awa;1;Bia³a Piska;piski;warmiñsko-mazurskie
12-231;FUP Bia³a Piska;Bemowo Piskie;Kêtrzyñskiego Wojciecha; ;Bia³a Piska;piski;warmiñsko-mazurskie
12-232;FUP Bia³a Piska;Dryga³y;Grunwaldzka; ;Bia³a Piska;piski;warmiñsko-mazurskie
21-500;AP Bia³a Podlaska;Bia³a Podlaska;Kopernika Miko³aja;22;Bia³a Podlaska;Bia³a Podlaska;lubelskie
21-500;AP Bia³a Podlaska;Bia³a Podlaska;Lubelska;26;Bia³a Podlaska;Bia³a Podlaska;lubelskie
21-500;AP Bia³a Podlaska;Bia³a Podlaska;Sidorska;57;Bia³a Podlaska;Bia³a Podlaska;lubelskie
21-501;AP Bia³a Podlaska;Bia³a Podlaska;Terebelska;57 A;Bia³a Podlaska;Bia³a Podlaska;lubelskie
21-500;UP Bia³a Podlaska 1;Bia³a Podlaska;Wolnoœci Pl.;9;Bia³a Podlaska;Bia³a Podlaska;lubelskie
21-501;UP Bia³a Podlaska 3;Bia³a Podlaska;Starego Zygmunta;10;Bia³a Podlaska;Bia³a Podlaska;lubelskie
21-502;UP Bia³a Podlaska 4;Bia³a Podlaska;Tysi¹clecia Al.;35;Bia³a Podlaska;Bia³a Podlaska;lubelskie
21-506;UP Bia³a Podlaska 6;Bia³a Podlaska;Warszawska;17;Bia³a Podlaska;Bia³a Podlaska;lubelskie
21-527;UP Bia³a Podlaska 7;Bia³a Podlaska;Orzechowa;34;Bia³a Podlaska;Bia³a Podlaska;lubelskie
48-210;UP Bia³a Prudnicka;Bia³a;1 Maja;30;Bia³a;prudnicki;opolskie
96-230;UP Bia³a Rawska;Bia³a Rawska;Mickiewicza Adama;10;Bia³a Rawska;rawski;³ódzkie
96-206;FUP Bia³a Rawska;Sadkowice;;129 a;Sadkowice;rawski;³ódzkie
19-200;AP Bia³aszewo;Bia³aszewo;Kopernika Miko³aja;50;Grajewo;grajewski;podlaskie
86-005;UP Bia³e B³ota;Bia³e B³ota;Guliwera;11;Bia³e B³ota;bydgoski;kujawsko-pomorskie
86-065;FUP Bia³e B³ota;£ochowo;Nakielska Szosa;8;Bia³e B³ota;bydgoski;kujawsko-pomorskie
36-030;AP Bia³ka k. Rzeszowa;Bia³ka;;127;B³a¿owa;rzeszowski;podkarpackie
34-405;AP Bia³ka Tatrzañska;Bia³ka Tatrzañska;Œrodkowa;179;Bukowina Tatrzañska;tatrzañski;ma³opolskie
16-300;AP Bia³obrzegi;Bia³obrzegi;;67A;Augustów;augustowski;podlaskie
37-114;UP Bia³obrzegi k. £añcuta;Bia³obrzegi;;4;Bia³obrzegi;³añcucki;podkarpackie
26-800;UP Bia³obrzegi Radomskie;Bia³obrzegi;11 Listopada;28;Bia³obrzegi;bia³obrzeski;mazowieckie
26-803;FUP Bia³obrzegi Radomskie;Promna-Kolonia;;114;Promna;bia³obrzeski;mazowieckie
78-200;UP Bia³ogard 1;Bia³ogard;Wojska Polskiego;87/88;Bia³ogard;bia³ogardzki;zachodniopomorskie
78-200;FUP Bia³ogard 1;Bia³ogard;Kochanowskiego Jana;26;Bia³ogard;bia³ogardzki;zachodniopomorskie
78-200;FUP Bia³ogard 1;Bia³ogard;Stamma Feliksa;2 A;Bia³ogard;bia³ogardzki;zachodniopomorskie
78-210;UP Bia³ogard 2;Bia³ogard;Chopina Fryderyka;30;Bia³ogard;bia³ogardzki;zachodniopomorskie
78-201;AP Bia³ogórzyno;Bia³ogórzyno;;31;Bia³ogard;bia³ogardzki;zachodniopomorskie
67-210;AP Bia³o³êka;Bia³o³êka;;33;Pêc³aw;g³ogowski;dolnoœl¹skie
22-135;UP Bia³opole;Bia³opole;Che³mska;9;Bia³opole;che³mski;lubelskie
19-112;AP Bia³osuknia;Bia³osuknia;;42;Goni¹dz;moniecki;podlaskie
89-340;UP Bia³oœliwie;Bia³oœliwie;Dworcowa;2;Bia³oœliwie;pilski;wielkopolskie
09-500;AP Bia³otarsk;Bia³otarsk;;37;Gostynin;gostyniñski;mazowieckie
16-130;AP Bia³ousy;Bia³ousy;;45;Janów;sokólski;podlaskie
78-452;AP Bia³ow¹s;Bia³ow¹s;;4;Barwice;szczecinecki;zachodniopomorskie
13-240;AP Bia³uty;Bia³uty;;51 A;I³owo-Osada;dzia³dowski;warmiñsko-mazurskie
78-425;UP Bia³y Bór;Bia³y Bór;Roli-¯ymierskiego Micha³a;15;Bia³y Bór;szczecinecki;zachodniopomorskie
15-687;AP Bia³ystok;Bia³ystok;Komisji Edukacji Narodowej;9/1;Bia³ystok;Bia³ystok;podlaskie
15-571;AP Bia³ystok;Bia³ystok;Stoczni Gdañskiej;76;Bia³ystok;Bia³ystok;podlaskie
15-001;UP Bia³ystok 1;Bia³ystok;Warszawska;10;Bia³ystok;Bia³ystok;podlaskie
15-950;UP Bia³ystok 1;skrytki/przegródki;;;Bia³ystok;Bia³ystok;podlaskie
15-086;FUP Bia³ystok 1;Bia³ystok;Branickiego Jana Klemensa;9;Bia³ystok;Bia³ystok;podlaskie
15-001;FUP Bia³ystok 1;Bia³ystok;Kawaleryjska;70;Bia³ystok;Bia³ystok;podlaskie
15-601;FUP Bia³ystok 1;skrytki/przegródki;;;Bia³ystok;Bia³ystok;podlaskie
15-001;FUP Bia³ystok 1;Bia³ystok;Kiliñskiego Jana;1;Bia³ystok;Bia³ystok;podlaskie
15-001;FUP Bia³ystok 1;Bia³ystok;Pla¿owa;17;Bia³ystok;Bia³ystok;podlaskie
15-900;UP Bia³ystok 2;Bia³ystok;Kolejowa;15;Bia³ystok;Bia³ystok;podlaskie
15-959;UP Bia³ystok 2;skrytki/przegródki;;;Bia³ystok;Bia³ystok;podlaskie
15-900;FUP Bia³ystok 2;Dobrzyniewo Du¿e;Bia³ostocka;12;Dobrzyniewo Du¿e;bia³ostocki;podlaskie
15-214;UP Bia³ystok 3;Bia³ystok;Mickiewicza Adama;17;Bia³ystok;Bia³ystok;podlaskie
15-428;UP Bia³ystok 4;Bia³ystok;Lipowa;32;Bia³ystok;Bia³ystok;podlaskie
15-530;UP Bia³ystok 5;Bia³ystok;Sowlañska;1;Bia³ystok;Bia³ystok;podlaskie
15-344;UP Bia³ystok 6;Bia³ystok;Dubois Stanis³awa;5;Bia³ystok;Bia³ystok;podlaskie
15-566;UP Bia³ystok 7;Bia³ystok;Dojlidy Fabryczne;23;Bia³ystok;Bia³ystok;podlaskie
15-050;UP Bia³ystok 8;Bia³ystok;Mieszka I;14/7;Bia³ystok;Bia³ystok;podlaskie
15-436;UP Bia³ystok 9;Bia³ystok;Rynek Koœciuszki;13;Bia³ystok;Bia³ystok;podlaskie
15-770;UP Bia³ystok 10;Bia³ystok;Ko³³¹taja Hugo;7;Bia³ystok;Bia³ystok;podlaskie
15-821;UP Bia³ystok 11;Bia³ystok;Zagórna;2 B;Bia³ystok;Bia³ystok;podlaskie
15-219;UP Bia³ystok 12;Bia³ystok;Œwiêtojañska;13;Bia³ystok;Bia³ystok;podlaskie
15-641;UP Bia³ystok 13;Bia³ystok;Watykañska;13;Bia³ystok;Bia³ystok;podlaskie
15-308;UP Bia³ystok 14;Bia³ystok;Weso³a;18;Bia³ystok;Bia³ystok;podlaskie
15-026;UP Bia³ystok 15;Bia³ystok;S³onimska;1;Bia³ystok;Bia³ystok;podlaskie
15-792;UP Bia³ystok 16;Bia³ystok;Broniewskiego W³adys³awa;4;Bia³ystok;Bia³ystok;podlaskie
15-880;UP Bia³ystok 17;Bia³ystok;Sto³eczna;25;Bia³ystok;Bia³ystok;podlaskie
15-378;UP Bia³ystok 18;Bia³ystok;Bema Józefa (Genera³a Józefa Bema);66;Bia³ystok;Bia³ystok;podlaskie
15-859;UP Bia³ystok 19;Bia³ystok;Bia³ostoczek;21;Bia³ystok;Bia³ystok;podlaskie
15-664;UP Bia³ystok 20;Bia³ystok;Konwaliowa;2;Bia³ystok;Bia³ystok;podlaskie
15-471;UP Bia³ystok 21;Bia³ystok;Ciep³a;15;Bia³ystok;Bia³ystok;podlaskie
15-807;UP Bia³ystok 22;Bia³ystok;Dziesiêciny;45;Bia³ystok;Bia³ystok;podlaskie
15-168;UP Bia³ystok 23;Bia³ystok;Wysockiego W³adys³awa;67/A10;Bia³ystok;Bia³ystok;podlaskie
15-057;UP Bia³ystok 24;Bia³ystok;Chrobrego Boles³awa;2;Bia³ystok;Bia³ystok;podlaskie
15-148;UP Bia³ystok 25;Bia³ystok;Wasilkowska;1;Bia³ystok;Bia³ystok;podlaskie
15-662;UP Bia³ystok 26;Bia³ystok;Witosa Wincentego;32;Bia³ystok;Bia³ystok;podlaskie
15-100;UP Bia³ystok 27;Bia³ystok;I Armii Wojska Polskiego;8 A;Bia³ystok;Bia³ystok;podlaskie
15-675;UP Bia³ystok 28;Bia³ystok;Ekologiczna;16;Bia³ystok;Bia³ystok;podlaskie
15-154;UP Bia³ystok 29;Bia³ystok;Trawiasta;16;Bia³ystok;Bia³ystok;podlaskie
15-280;UP Bia³ystok 30;Bia³ystok;Waszyngtona Jerzego;22 B;Bia³ystok;Bia³ystok;podlaskie
15-775;UP Bia³ystok 31;Bia³ystok;Konstytucji 3 Maja Al.;22;Bia³ystok;Bia³ystok;podlaskie
15-699;UP Bia³ystok 32;Bia³ystok;Pietkuna Witolda (Ksiêdza Witolda Pietkuna);5;Bia³ystok;Bia³ystok;podlaskie
15-330;UP Bia³ystok 33;Bia³ystok;Zachodnia;5 B;Bia³ystok;Bia³ystok;podlaskie
15-447;UP Bia³ystok 34;Bia³ystok;Pi³sudskiego Józefa Al.;26;Bia³ystok;Bia³ystok;podlaskie
15-695;UP Bia³ystok 35;Bia³ystok;Bacieczki;212;Bia³ystok;Bia³ystok;podlaskie
15-212;UP Bia³ystok 36;Bia³ystok;Andrukiewicza Stanis³awa (Ksiêdza Stanis³awa Andrukiewicza);2;Bia³ystok;Bia³ystok;podlaskie
15-900;PP Bia³ystok B102;Bia³ystok;Kolejowa;15;Bia³ystok;Bia³ystok;podlaskie
15-700;PP Bia³ystok B103;Bia³ystok;Zwyciêstwa;1/2;Bia³ystok;Bia³ystok;podlaskie
19-206;AP Biebrza;Biebrza;Lipowa;22;Rajgród;grajewski;podlaskie
38-340;UP Biecz;Biecz;Kazimierza Wielkiego;9;Biecz;gorlicki;ma³opolskie
38-305;FUP Biecz;Lipinki;;53;Lipinki;gorlicki;ma³opolskie
68-343;AP Biecz;Biecz;;61;Brody;¿arski;lubuskie
62-003;AP Biedrusko;Biedrusko;Œwierczewskiego;19;Suchy Las;poznañski;wielkopolskie
48-250;AP Biedrzychowice;Biedrzychowice;;109;G³ogówek;prudnicki;opolskie
59-830;AP Biedrzychowice k. Lubania Œl¹skiego;Biedrzychowice;;68 A;Olszyna;lubañski;dolnoœl¹skie
55-075;UP Bielany Wroc³awskie 1;Bielany Wroc³awskie;Boczna;5;Kobierzyce;wroc³awski;dolnoœl¹skie
55-076;UP Bielany Wroc³awskie 3;Bielany Wroc³awskie;Czekoladowa;9;Kobierzyce;wroc³awski;dolnoœl¹skie
55-077;UP Bielany Wroc³awskie 4;Bielany Wroc³awskie;Francuska;6;Kobierzyce;wroc³awski;dolnoœl¹skie
58-260;AP Bielawa;Bielawa;Ostroszowicka;1B;Bielawa;dzier¿oniowski;dolnoœl¹skie
58-264;AP Bielawa;Bielawa;Wolnoœci;23;Bielawa;dzier¿oniowski;dolnoœl¹skie
58-260;UP Bielawa 1;Bielawa;Piastowska;16;Bielawa;dzier¿oniowski;dolnoœl¹skie
58-260;FUP Bielawa 1;Bielawa;¯eromskiego Stefana;21;Bielawa;dzier¿oniowski;dolnoœl¹skie
58-261;FUP Bielawa 1;skrytki/przegródki;;;Bielawa;dzier¿oniowski;dolnoœl¹skie
58-263;UP Bielawa 4;Bielawa;Sobieskiego Jana III;17;Bielawa;dzier¿oniowski;dolnoœl¹skie
