PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOå∆;ULICA;NR;GMINA;POWIAT;WOJEW”DZTWO
25-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Kielcach;Kielce;Niepodleg≥oúci Pl.;2;Kielce;Kielce;úwiÍtokrzyskie
60-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Komornikach;Komorniki;Polna;120;Komorniki;poznaÒski;wielkopolskie
30-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Krakowie;KrakÛw;Prokocimska;6;KrakÛw;KrakÛw;ma≥opolskie
85-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Lisim Ogonie;Lisi Ogon;Pocztowa;12;Bia≥e B≥ota;bydgoski;kujawsko-pomorskie
20-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Lublinie;Lublin;Moritza Wac≥awa;2;Lublin;Lublin;lubelskie
90-900;WÍze≥ Ekspedycyjno-Rozdzielczy w £odzi;£Ûdü;W≥Ûkniarzy Al.;227;£Ûdü;£Ûdü;≥Ûdzkie
10-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Olsztynie;Olsztyn;PartyzantÛw;39;Olsztyn;Olsztyn;warmiÒsko-mazurskie
80-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Pruszczu GdaÒskim;Pruszcz GdaÒski;Handlowa;4;Pruszcz GdaÒski;gdaÒski;pomorskie
35-900;WÍze≥ Ekspedycyjno-Rozdzielczy Rudna Ma≥a;Rudna Ma≥a;;47 M;G≥ogÛw Ma≥opolski;rzeszowski;podkarpackie
70-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Szczecinie;Szczecin;Dworcowa;20 b;Szczecin;Szczecin;zachodniopomorskie
00-900;WÍze≥ Ekspedycyjno-Rozdzielczy w Warszawie;Warszawa;£πczyny;8;Warszawa;Warszawa;mazowieckie
50-900;WÍze≥ Ekspedycyjno-Rozdzielczy we Wroc≥awiu;Wroc≥aw;Ibn Siny Awicenny;21;Wroc≥aw;Wroc≥aw;dolnoúlπskie
41-850;WÍze≥ Ekspedycyjno-Rozdzielczy w Zabrzu;Zabrze;MieløyÒskiego Macieja;5;Zabrze;Zabrze;úlπskie
15-100;Region Sieci Bia≥ystok;Bia≥ystok;I Armii Wojska Polskiego;8 A;Bia≥ystok;Bia≥ystok;podlaskie
85-001;Region Sieci Bydgoszcz;Bydgoszcz;JagielloÒska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
80-940;Region Sieci GdaÒsk;GdaÒsk;Targ Rakowy;7/8;GdaÒsk;GdaÒsk;pomorskie
66-400;Region Sieci GorzÛw Wielkopolski;GorzÛw Wielkopolski;JagielloÒczyka Kazimierza;4;GorzÛw Wielkopolski;GorzÛw Wielkopolski;lubuskie
40-001;Region Sieci Katowice;Katowice;Pocztowa;9;Katowice;Katowice;úlπskie
25-001;Region Sieci Kielce;Kielce;Niepodleg≥oúci Pl.;2;Kielce;Kielce;úwiÍtokrzyskie
30-940;Region Sieci KrakÛw;KrakÛw;Grochowska;2;KrakÛw;KrakÛw;ma≥opolskie
20-001;Region Sieci Lublin;Lublin;Krakowskie Przedmieúcie;50;Lublin;Lublin;lubelskie
90-001;Region Sieci £Ûdü;£Ûdü;Tuwima Juliana;38;£Ûdü;£Ûdü;≥Ûdzkie
10-001;Region Sieci Olsztyn;Olsztyn;PieniÍønego Seweryna;21;Olsztyn;Olsztyn;warmiÒsko-mazurskie
45-076;Region Sieci Opole;Opole;Krakowska;46;Opole;Opole;opolskie
60-942;Region Sieci PoznaÒ;PoznaÒ;Koúciuszki Tadeusza;77;PoznaÒ;PoznaÒ;wielkopolskie
35-959;Region Sieci RzeszÛw;RzeszÛw;Asnyka Adama;9;RzeszÛw;RzeszÛw;podkarpackie
70-405;Region Sieci Szczecin;Szczecin;Niepodleg≥oúci Al.;41/42;Szczecin;Szczecin;zachodniopomorskie
03-700;Region Sieci Warszawa-Miasto;Warszawa;Targowa;73;Warszawa;Warszawa;mazowieckie
00-965;Region Sieci Warszawa-WojewÛdztwo;Warszawa;Towarowa;5;Warszawa;Warszawa;mazowieckie
50-945;Region Sieci Wroc≥aw;Wroc≥aw;KrasiÒskiego Zygmunta;1;Wroc≥aw;Wroc≥aw;dolnoúlπskie
85-940;Centrum Obs≥ugi Finansowej Bydgoszcz;Bydgoszcz;BernardyÒska;15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
41-902;Centrum Obs≥ugi Finansowej Bytom;Bytom;Karola Miarki;4;Bytom;Bytom;úlπskie
95-042;Wydzia≥ NiedorÍczalnych Przesy≥ek;Koluszki;Kolejowa;4;Koluszki;≥Ûdzki wschodni;≥Ûdzkie
